Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,8008.197165,8272.394547,8216.015524,8367.27622,8596.351698,9155.653328,9188.412753,9715.194786,
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,8964.833879,10075.44979,10062.74462,10194.61279,10278.24089,8742.394146,8438.662618,9274.781581,
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,786.1440717,886.4118987,925.0753293,979.1007974,1038.052311,1003.340755,981.6192563,1071.438079,
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,641.7511046,708.6208977,747.5897549,799.5629712,834.7792567,800.0023112,754.331438,785.5817826,
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,141165.0829,158283.0763,149295.646,173528.1505,179308.0756,167590.6083,164993.1942,,
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,2808.434392,3214.014195,3350.521876,3610.289363,3820.54065,3844.514008,3857.351319,4073.736519,
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,1673.463906,1869.990532,1932.136665,1988.32899,2063.063912,2019.443661,2065.682356,2192.31892,
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,3531.695094,4115.572424,4337.848041,4542.912249,4658.30338,4346.270662,4309.244096,4662.155413,
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1157.341092,1350.643252,1281.611508,1192.998766,1218.466106,1154.355219,1054.268754,1154.444246,
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,6190.532566,7503.667153,7979.432583,8551.549926,8807.090267,8203.423306,8156.760591,8982.239,
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,11984.86857,14357.73523,14341.18163,15693.78673,16545.12267,14289.12057,14912.68654,16680.6781,
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,104965.3061,115761.5077,106749.0136,113625.1329,119225.38,101446.7863,100738.6842,104103.0367,
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,11326.21947,13702.68947,13822.80559,15032.28201,15716.36907,13639.69412,14070.42265,15594.28602,
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,52374.79445,66813.34974,76496.36619,89524.84436,94004.38983,75484.28658,74017.18471,80892.82133,
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,2834.20472,3039.916016,2904.746728,3111.762887,3154.513484,2847.285569,2892.775561,3007.242877,
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,144569.1758,162155.4986,152000.3621,172588.8778,185152.5272,163369.0708,168010.9149,,
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1631.535832,1970.571373,2046.536787,2243.990178,2244.755308,1832.495194,1913.237414,2289.877719,
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,412.7309341,454.963464,443.9061001,461.7230722,452.4631926,402.0883118,401.7422654,449.7223819,
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,7100.405899,7395.6878,7473.195629,8291.485295,9056.65344,9821.690574,10319.09716,11151.06921,
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,7126.771934,8276.267767,8832.510906,8603.253386,8473.746228,7336.451394,7225.729859,7372.265034,
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,9016.457927,9912.582362,9940.468561,10400.56316,10582.41053,9298.242878,8450.49401,8910.333177,
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3146.763948,3297.558144,3516.899911,3614.130661,3461.781164,3390.910292,3665.207477,3843.119884,
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,3876.907232,4527.834761,4778.721344,5009.654766,5142.301059,4802.230704,4772.199237,5173.860153,
"Macedonia, FYR",MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,4542.904104,5064.041106,4698.689476,5211.4992,5469.217898,4840.319679,5128.02282,5414.614823,
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,708.3707632,835.0889098,777.3476868,803.8935757,845.720641,749.9179512,778.6004251,827.0064008,
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,21087.79469,22835.37683,21916.97221,23820.36341,25811.878,23715.53414,24758.69562,26903.82452,
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,987.7365832,1186.423937,1175.561788,1171.464477,1260.418504,1138.992976,1196.103204,1256.660675,
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,4122.744869,4588.710354,4964.015822,4578.379819,4426.713898,3930.296003,3904.026668,3791.753562,
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,6682.281158,7318.742449,6586.719209,7186.431924,7378.341022,6514.272695,7028.940132,7782.83979,
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2650.353648,3769.595269,4368.082248,4385.379355,4181.583313,3946.962075,3695.164849,3717.473389,
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,14681.02308,13628.08166,13980.41625,14471.83359,15513.69612,16984.09224,22717.77257,28888.00232,
